decade,position,artist,song,score,us,uk,de,fr,ca,au
2010s,201,Ed Sheeran,Shape Of You,26152.06425,1,1,1,1,1,1
2010s,202,Luis Fonsi & Daddy Yankee,Despacito,21590.87574,1,1,1,1,1,1
2010s,203,Mark Ronson & Bruno Mars,Uptown Funk,21543.91346,1,1,3,1,1,1
2010s,204,Pharrell Williams,Happy,20762.5095,1,1,1,1,1,1
2010s,205,Ed Sheeran,Perfect,20045.52389,1,1,1,1,1,1
2010s,206,LMFAO,Party Rock Anthem,19618.84368,1,1,1,1,1,1
2010s,207,Adele,Rolling In The Deep,19448.02512,1,2,1,3,1,3
2010s,208,Gotye & Kimbra,Somebody That I Used To Know,18737.59073,1,1,1,1,1,1
2010s,209,Ed Sheeran,Thinking Out Loud,18629.19654,2,1,6,4,2,1
2010s,210,Imagine Dragons,Radioactive,17690.00845,3,12,4,28,5,6
2010s,211,The Chainsmokers & Halsey,Closer,17585.68096,1,1,2,31,1,1
2010s,212,John Legend,All Of Me,17452.67553,1,2,-,4,1,1
2010s,213,Justin Timberlake,Can't Stop The Feeling,17314.35521,1,2,1,1,1,3
2010s,214,Sia,Cheap Thrills,17149.58416,1,2,1,1,1,6
2010s,215,Carly Rae Jepsen,Call Me Maybe,16952.38652,1,1,3,1,1,1
2010s,216,OneRepublic,Counting Stars,16895.96672,2,1,3,7,1,2
2010s,217,Avicii,Wake Me Up,16834.17115,4,1,1,1,2,1
2010s,218,Camila Cabello & Young Thug,Havana,16764.27039,1,1,2,2,1,1
2010s,219,Adele,Someone Like You,16458.80659,1,1,4,1,2,1
2010s,220,"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,16457.08433,1,1,1,1,1,1
2010s,221,Justin Bieber,Love Yourself,15822.70361,1,1,3,4,1,1
2010s,222,Maroon 5 & Christina Aguilera,Moves Like Jagger,15719.37412,1,2,2,3,1,2
2010s,223,Maroon 5 & Cardi B,Girls Like You,15614.52153,1,7,9,4,1,2
2010s,224,Post Malone & 21 Savage,Rockstar,15606.01638,1,1,2,8,1,1
2010s,225,"Drake, WizKid & Kyla",One Dance,15532.61725,1,1,1,1,1,1
2010s,226,Sia,Chandelier,15422.21956,8,6,10,1,6,2
2010s,227,Justin Bieber,Sorry,15403.56357,1,1,3,4,1,2
2010s,228,Major Lazer & DJ Snake,Lean On,15253.54148,4,2,4,2,3,1
2010s,229,Rihanna & Calvin Harris,We Found Love,15139.87669,1,1,1,1,1,2
2010s,230,Meghan Trainor,All About That Bass,15066.51814,1,1,1,8,1,1
2010s,231,Sam Smith,Stay With Me,14966.7986,2,1,-,6,1,5
2010s,232,Hozier,Take Me To Church,14943.68245,2,2,2,2,2,2
2010s,233,Wiz Khalifa & Charlie Puth,See You Again,14660.56756,1,1,1,2,1,1
2010s,234,Taylor Swift,Shake It Off,14592.50158,1,2,5,6,1,1
2010s,235,The Chainsmokers & Daya,Don't Let Me Down,14568.70637,3,2,6,19,4,3
2010s,236,OMI,Cheerleader,14478.80029,1,1,1,1,1,1
2010s,237,Katy Perry,Dark Horse,14346.06524,1,4,6,6,1,-
2010s,238,Macklemore & Ryan Lewis,Thrift Shop,14167.31654,1,1,2,1,1,1
2010s,239,Drake,God's Plan,14118.48304,1,1,1,4,1,1
2010s,240,"Pitbull, Ne-Yo, Afrojack & Nayer",Give Me Everything,13917.63401,1,1,2,2,1,2
2010s,241,Passenger,Let Her Go,13701.1047,5,2,1,6,5,1
2010s,242,"Cardi B, Bad Bunny & J Balvin",I Like It,13686.11207,1,8,-,21,2,14
2010s,243,The Weeknd,The Hills,13677.96067,1,3,10,11,1,3
2010s,244,Twenty One Pilots,Stressed Out,13603.24644,2,12,3,2,3,2
2010s,245,Bruno Mars,That's What I Like,13349.7651,1,12,-,42,3,5
2010s,246,Shawn Mendes,Stitches,13313.08575,4,1,2,86,10,4
2010s,247,The Lumineers,Ho Hey,13215.11682,3,8,5,6,2,3
2010s,248,LMFAO,Sexy And I Know It,13097.83835,1,5,8,3,1,1
2010s,249,Post Malone,Better Now,12990.00682,3,6,-,54,3,2
2010s,250,Daft Punk & Pharrell Williams,Get Lucky,12955.00645,2,1,1,1,2,1
2010s,251,Imagine Dragons,Thunder,12752.12416,4,20,2,20,4,2
2010s,252,fun.,We Are Young,12676.3875,1,1,4,7,1,1
2010s,253,The Weeknd,Can't Feel My Face,12668.82241,1,3,-,5,1,2
2010s,254,Fetty Wap,Trap Queen,12666.72083,2,8,-,17,11,25
2010s,255,Adele,Hello,12633.05643,1,1,1,1,1,1
2010s,256,Rihanna,Diamonds,12532.70599,1,1,1,1,1,6
2010s,257,Bruno Mars,Locked Out Of Heaven,12502.04364,1,2,7,3,1,4
2010s,258,Justin Bieber,What Do You Mean?,12473.19146,1,1,4,3,1,1
2010s,259,The Chainsmokers & Coldplay,Something Just Like This,12472.17141,3,2,4,6,3,2
2010s,260,French Montana & Swae Lee,Unforgettable,12445.51759,3,2,6,9,3,7
2010s,261,Bruno Mars,Just The Way You Are (Amazing),12416.17038,1,1,2,33,1,1
2010s,262,Psy,Gangnam Style,12393.99669,2,1,1,1,1,1
2010s,263,Macklemore & Ryan Lewis,Can't Hold Us,12345.43271,1,3,2,3,2,1
2010s,264,Bastille,Pompeii,12247.01227,5,2,6,96,6,4
2010s,265,Pitbull & Ke$ha,Timber,12186.58059,1,1,1,8,1,4
2010s,266,David Guetta & Sia,Titanium,12174.55519,7,1,5,3,7,5
2010s,267,Dua Lipa,New Rules,12167.35451,6,1,9,45,7,2
2010s,268,Walk the Moon,Shut Up & Dance,12080.68988,4,4,10,28,4,3
2010s,269,Adele,Set Fire To The Rain,12037.60029,1,11,6,9,2,11
2010s,270,Juice WRLD,Lucid Dreams (Forget Me),12032.55684,2,10,-,93,4,8
2010s,271,The Weeknd & Daft Punk,Starboy,11993.08629,1,2,3,1,1,2
2010s,272,Twenty One Pilots,Heathens,11976.09125,2,5,9,4,3,3
2010s,273,Lorde,Royals,11932.80578,1,1,8,4,1,-
2010s,274,"Portugal, The Man",Feel It Still,11921.18526,4,3,7,3,8,5
2010s,275,Katy Perry,Roar,11914.06198,1,1,2,5,1,1
2010s,276,Lukas Graham,Seven Years,11907.20355,2,1,6,5,1,1
