month,position,artist,song,score,us,uk,de,fr,ca,au
Jan-16,1,Adele,Hello,2568.706,1,3,1,1,1,2
Jan-16,2,Justin Bieber,Sorry,2412.344,1,2,6,4,1,2
Jan-16,3,Justin Bieber,Love Yourself,2219.517,3,1,3,9,3,1
Jan-16,4,Shawn Mendes,Stitches,1876.021,6,1,2,86,10,4
Jan-16,5,Justin Bieber,What Do You Mean?,1669.61,4,3,-,21,3,8
Jan-16,6,Drake,Hotline Bling,1635.34,3,16,-,18,4,18
Jan-16,7,The Weeknd,The Hills,1317.11,6,18,-,14,6,17
Jan-16,8,Selena Gomez,Same Old Love,1202.464,5,99,-,26,6,40
Jan-16,9,Alessia Cara,Here,1196.433,6,28,-,37,19,12
Jan-16,10,The Weeknd,Can't Feel My Face,1075.022,15,19,-,42,8,24
Jan-16,11,Coldplay,Adventure Of A Lifetime,1039.526,39,8,-,2,21,32
Jan-16,12,Ellie Goulding,On My Mind,1033.61,13,33,-,180,13,36
Jan-16,13,Fetty Wap & Remy Boyz,679,1028.72,11,32,-,-,15,43
Jan-16,14,The Weeknd,In The Night,1018.649,12,48,-,127,12,13
Jan-16,15,Twenty One Pilots,Stressed Out,979.645,4,86,-,40,5,-
Jan-16,16,Meghan Trainor & John Legend,Like I'm Gonna Lose You,976.037,9,-,-,-,8,-
Jan-16,17,Major Lazer & DJ Snake,Lean On,965.663,17,38,-,25,9,38
Jan-16,18,Elle King,Ex's & Oh's,918.22,12,15,-,-,23,5
Jan-16,19,One Direction,Perfect,880.652,26,19,-,-,15,15
Jan-16,20,Drake & Future,Jumpman,875.016,12,95,-,-,-,-
Jan-16,21,R City & Adam Levine,Locked Away,869.773,33,28,-,57,15,40
Jan-16,22,Taylor Swift,Wildest Dreams,799.818,18,97,-,183,10,32
Jan-16,23,Travi$ Scott,Antidote,790.785,16,-,-,-,46,-
Jan-16,24,The Chainsmokers & Rozes,Roses,790.18,11,-,-,139,9,37
Jan-16,25,Fetty Wap,Trap Queen,780.74,27,40,-,174,30,-
Jan-16,26,Bryson Tiller,Don't,771.45,13,87,-,-,-,-
Jan-16,27,Ariana Grande,Focus,754.663,24,35,-,142,10,42
Jan-16,28,Post Malone,White Iverson,752.979,14,-,-,-,48,-
Jan-16,29,Silento,Watch Me,721.857,19,-,-,-,22,-
Jan-16,30,Thomas Rhett,Die A Happy Man,711.872,21,-,-,-,35,-
Jan-16,31,Wiz Khalifa & Charlie Puth,See You Again,696.491,30,80,-,89,29,-
Jan-16,32,Demi Lovato,Confident,685.097,23,-,-,-,26,-
Jan-16,33,Skrillex & Diplo,Where Are U Now,681.94,38,35,-,157,20,-
